work_id,year,period,first_country_known,first_target,corr_country_known,corr_target,international_collaboration,n_author_countries,studied_count
W4200355147,2021,2021-2026,True,False,True,False,True,3,1
W4200549936,2021,2021-2026,True,True,True,True,True,2,1
W4200611194,2021,2021-2026,True,True,True,True,False,1,1
W4205896100,2021,2021-2026,True,True,True,True,False,1,1
W4206768596,2021,2021-2026,True,True,True,True,False,1,1
W4225738735,2021,2021-2026,True,False,True,False,True,3,1
W4297264210,2021,2021-2026,True,True,False,,False,1,1
W4226199683,2021,2021-2026,True,True,False,,False,1,2
W4407383100,2021,2021-2026,True,False,False,,True,2,1
W4200384332,2021,2021-2026,True,False,True,False,False,1,1
W4200335988,2021,2021-2026,True,True,True,True,True,2,1
W4200115803,2021,2021-2026,True,True,True,True,False,1,0
W4200368740,2021,2021-2026,True,True,False,,False,1,1
W4200244570,2021,2021-2026,True,True,True,True,False,1,1
W4200371114,2021,2021-2026,True,False,False,,False,1,1
W4226331188,2021,2021-2026,True,False,False,,False,1,1
W4226472693,2021,2021-2026,True,False,False,,False,1,1
W4200011338,2021,2021-2026,True,True,True,True,False,1,1
W4205578456,2021,2021-2026,True,True,False,,False,1,1
W4205635235,2021,2021-2026,True,True,False,,False,1,1
W4210518977,2021,2021-2026,True,True,True,True,False,1,1
